ID,gender,age,education,cov_cons,pseudo_info,trust_gov,compliance,,,,Values,
106,M,48,2,2.444444444,1,2.8,2.625,,,,,
107,F,27,4,1.555555556,2,4.6,3.125,,,,,
108,M,54,4,1.111111111,1.5,3.8,3.75,,,,,
109,F,36,5,1.666666667,1.75,3.8,3.125,,,,,
110,M,32,4,1.444444444,1,3.8,2.75,,,,,
111,F,24,2,2.222222222,2.5,2.6,2.75,,,,,
112,F,40,5,2.333333333,4,2.4,3.125,,,,,
113,F,42,5,4.777777778,4.5,1,3.125,,,,,
114,F,38,3,2.111111111,1,1.8,3.625,,,,,
115,F,30,2,4.666666667,2.25,2,3.25,,,,,
116,M,36,4,1.111111111,2.25,3.6,3.625,,,,,
117,F,22,4,1.777777778,1,2.8,4,,,,,
118,F,26,4,1.444444444,2.5,4,3.5,,,,,
119,F,40,5,1.333333333,1,4.2,3.75,,,,,
120,F,47,4,1.666666667,1,3.4,4,,,,,
121,M,21,4,1.333333333,1,3.4,3.125,,,,,
122,F,40,4,1,1,4.8,4,,,,,
123,M,51,3,1.111111111,3,3.4,3.25,,,,,
124,F,23,2,3.222222222,1,4.4,3.25,,,,,
125,F,63,4,1.111111111,1,3.6,4,,,,,
126,M,30,4,1.555555556,1,2.8,3.875,,,,,
127,F,43,4,2.555555556,2.5,3.6,3.875,,,,,
128,M,45,6,1.888888889,3.5,3.8,3.5,,,,,
129,F,31,3,3.333333333,1,1,2.25,,,,,
130,F,21,2,1.111111111,2.5,4.8,3.5,,,,,
131,F,51,4,1.444444444,1.75,4.8,4,,,,,
132,M,33,4,1.666666667,2.25,3.4,3.125,,,,,
133,F,41,2,4.111111111,3.5,2.2,3.25,,,,,
134,M,25,3,1,1,3,2.875,,,,,
135,F,36,5,1.222222222,1,4.6,4,,,,,
136,F,31,4,2.555555556,1.5,3,2.5,,,,,
137,M,17,2,2.333333333,1.75,4.6,3.25,,,,,
138,M,37,4,2,1.5,2.2,2.625,,,,,
139,M,36,5,1.777777778,1,2,2.625,,,,,
140,M,46,2,1,1,1.4,4,,,,,
141,F,21,3,3.222222222,3.75,4.4,3.5,,,,,
142,M,45,6,1,1,3.6,3.5,,,,,
143,M,39,6,1,1,4.6,3.875,,,,,
144,M,42,4,1.555555556,2,3.8,3.375,,,,,
145,F,58,6,1,1,3.2,3.875,,,,,
146,F,25,4,1.333333333,1.75,5,4,,,,,
147,F,34,4,1,1,4.6,3.875,,,,,
148,F,22,3,1,1.25,4.8,3.625,,,,,
149,M,39,4,1.222222222,1.75,3.8,3.5,,,,,
150,M,33,4,1.888888889,1.75,4,3.125,,,,,
151,F,32,4,2.111111111,3.75,3.4,3.625,,,,,
152,F,20,2,2.888888889,2,3.6,3.875,,,,,
153,F,22,2,3,1,2.8,4,,,,,
154,F,33,4,3.666666667,2.75,3,3,,,,,
155,F,25,4,3.333333333,3,3.2,4,,,,,
156,F,21,3,1.888888889,1.25,3.8,3.625,,,,,
157,M,45,6,1.555555556,2.5,3.4,3.25,,,,,
158,F,35,4,1.777777778,1.75,3.2,3.25,,,,,
159,M,36,6,1.111111111,1,4,3.875,,,,,
160,F,50,2,1.222222222,3.5,3.4,3.5,,,,,
161,F,42,6,1.222222222,1,3.8,3.625,,,,,
162,M,35,4,1.666666667,1,3.8,3.625,,,,,
163,F,34,4,1.777777778,1,3.4,3,,,,,
164,M,42,2,2.333333333,3.25,3,3.625,,,,,
165,M,35,2,1.111111111,1.25,2.2,3.875,,,,,
166,F,30,4,3,2,2.4,3.75,,,,,
167,F,37,4,2,3,3.6,4,,,,,
168,F,47,6,1,1,2.8,3.75,,,,,
169,NA,59,6,2.444444444,1,1.8,1.5,,,,,
170,M,24,3,3.111111111,1,2.8,1.625,,,,,
171,F,35,4,1.666666667,1,2.2,2.25,,,,,
172,F,21,2,1,2.5,1.6,3,,,,,
173,F,21,2,3.666666667,3,3.6,1.875,,,,,
174,F,37,2,1.111111111,1,4,3.875,,,,,
175,F,40,4,1.222222222,1.75,3.6,3.375,,,,,
176,F,35,5,1.222222222,1,4,3.875,,,,,
177,M,45,4,1.111111111,1,4.6,3.875,,,,,
178,F,34,6,1.222222222,1.25,4.2,4,,,,,
179,M,25,3,1.111111111,1,2.6,1.75,,,,,
180,M,60,4,1.444444444,1,4.4,4,,,,,
181,M,21,2,1.333333333,1.25,2.4,1.5,,,,,
182,F,39,5,1.666666667,1.25,3.2,3.375,,,,,
183,F,56,2,2.555555556,3.5,2.8,3.75,,,,,
184,F,25,3,1.111111111,1.25,4.8,4,,,,,
185,F,43,4,1.555555556,2,3.6,4,,,,,
186,F,47,6,1.111111111,1,3.8,4,,,,,
187,F,24,3,1.555555556,2.5,1.2,3.25,,,,,
188,M,35,4,4,1.5,1,1,,,,,
189,F,49,6,1,1,4.4,4,,,,,
190,F,22,3,2.111111111,1,3.8,3.625,,,,,
191,M,22,2,1,1.25,4,3.375,,,,,
192,F,33,4,2.111111111,2.5,3.8,3.5,,,,,
193,F,21,2,1.555555556,1,3,3.125,,,,,
194,M,36,3,1.333333333,1,1.8,4,,,,,
195,F,32,4,2,1.25,3.4,3.75,,,,,
196,F,46,2,1.222222222,1,2,2.125,,,,,
197,M,21,2,3.333333333,3.75,2.2,1.875,,,,,
198,M,21,2,2.555555556,3,4.6,3.25,,,,,
199,M,29,2,1.555555556,3,3.8,3.875,,,,,
200,F,22,3,2,1,4.8,3.875,,,,,
201,F,38,4,3.777777778,3.5,2.8,3.125,,,,,
202,F,60,5,1.333333333,2,3.2,3.5,,,,,
203,F,52,2,1.888888889,1.25,4,2.625,,,,,
204,M,44,4,1.333333333,1,2.6,4,,,,,
205,F,23,2,2.666666667,1.5,3,4,,,,,
206,F,39,4,1,1,3.4,4,,,,,
